CVE ID,Description,Severity,Attack Complexity,Attack Vector,CWE ID,References,Attack Type,Mitigation Strategy
CVE-2018-19571,"GitLab CE/EE, versions 8.18 up to 11.x before 11.3.11, 11.4 before 11.4.8, and 11.5 before 11.5.1, are vulnerable to an SSRF vulnerability in webhooks.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,CWE-918,"http://packetstormsecurity.com/files/160516/GitLab-11.4.7-Remote-Code-Execution.html, http://packetstormsecurity.com/files/160699/GitLab-11.4.7-Remote-Code-Execution.html, https://about.gitlab.com/2018/11/28/security-release-gitlab-11-dot-5-dot-1-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/53242, http://packetstormsecurity.com/files/160516/GitLab-11.4.7-Remote-Code-Execution.html, http://packetstormsecurity.com/files/160699/GitLab-11.4.7-Remote-Code-Execution.html, https://about.gitlab.com/2018/11/28/security-release-gitlab-11-dot-5-dot-1-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/53242",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-14277,"Axway SecureTransport 5.x through 5.3 (or 5.x through 5.5 with certain API configuration) is vulnerable to unauthenticated blind XML injection (and XXE) in the resetPassword functionality via the REST API. This vulnerability can lead to local file disclosure, DoS, or URI invocation attacks (i.e., SSRF with resultant remote code execution). NOTE: The vendor disputes this issues as not being a vulnerability because “All attacks that use external entities are blocked (no external DTD or file inclusions, no SSRF). The impact on confidentiality, integrity and availability is not proved on any version.",CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-91,"https://community.axway.com/s/article/SecureTransport-Security-Notice, https://community.axway.com/s/article/SecureTransport-Security-Notice-re-CVE-2019-14277-Unauthenticated-XML-Injection-and-XXE, https://gist.githubusercontent.com/zeropwn/59f17727dfaba239b0ace6f33b752974/raw/9b6541a94ac5ec181a88e6c84cb3e3001025b8fd/Axway%2520SecureTransport%25205.x%2520Unauthenticated%2520XXE, https://www.exploit-db.com/exploits/47150, https://zero.lol/2019-07-21-axway-securetransport-xml-injection/, https://community.axway.com/s/article/SecureTransport-Security-Notice, https://community.axway.com/s/article/SecureTransport-Security-Notice-re-CVE-2019-14277-Unauthenticated-XML-Injection-and-XXE, https://gist.githubusercontent.com/zeropwn/59f17727dfaba239b0ace6f33b752974/raw/9b6541a94ac5ec181a88e6c84cb3e3001025b8fd/Axway%2520SecureTransport%25205.x%2520Unauthenticated%2520XXE, https://www.exploit-db.com/exploits/47150, https://zero.lol/2019-07-21-axway-securetransport-xml-injection/",Blind SSRF,Ensure secure data parsing to prevent code injection
CVE-2019-14704,An SSRF issue was discovered in HTTPD on MicroDigital N-series cameras with firmware through 6400.0.8.5 via FTP commands following a newline character in the uploadfile field.,N/A,N/A,N/A,CWE-918,"http://www.microdigital.co.kr/, https://pastebin.com/PSyqqs1g, https://www.microdigital.ru/, http://www.microdigital.co.kr/, https://pastebin.com/PSyqqs1g, https://www.microdigital.ru/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-13176,"An issue was discovered in the 3CX Phone system (web) management console 12.5.44178.1002 through 12.5 SP2. The Content.MainForm.wgx component is affected by XXE via a crafted XML document in POST data. There is potential to use this for SSRF (reading local files, outbound HTTP, and outbound DNS).",N/A,N/A,N/A,CWE-611,"https://www.logicallysecure.com/blog/3cx-phone-system-web-console-affected-by-xxe/, https://www.logicallysecure.com/blog/3cx-phone-system-web-console-affected-by-xxe/",DNS Rebinding SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2016-10926,The nelio-ab-testing plugin before 4.5.9 for WordPress has SSRF in ajax/iesupport.php.,N/A,N/A,N/A,CWE-918,"https://wordpress.org/plugins/nelio-ab-testing/#developers, https://wordpress.org/plugins/nelio-ab-testing/#developers",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2016-10927,The nelio-ab-testing plugin before 4.5.11 for WordPress has SSRF in ajax/iesupport.php.,N/A,N/A,N/A,CWE-918,"https://wordpress.org/plugins/nelio-ab-testing/#developers, https://wordpress.org/plugins/nelio-ab-testing/#developers",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-15494,"openITCOCKPIT before 3.7.1 allows SSRF, aka RVID 5-445b21.",N/A,N/A,N/A,CWE-918,"https://github.com/it-novum/openITCOCKPIT/releases/tag/openITCOCKPIT-3.7.1, https://github.com/it-novum/openITCOCKPIT/releases/tag/openITCOCKPIT-3.7.1",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-13020,"The fetch API in Tightrope Media Carousel before 7.1.3 has CarouselAPI/v0/fetch?url= SSRF. This has two potential areas for abuse. First, a specially crafted URL could be used in a phishing attack to hijack the trust the user and the browser have with the website and could serve malicious content from a third-party attacker-controlled system. Second, arguably more severe, is the potential for an attacker to circumvent firewall controls, by proxying traffic, unauthenticated, into the internal network from the internet.",N/A,N/A,N/A,CWE-918,"https://www.carouselsignage.com/release-notes/carousel-7-1-3, https://www.carouselsignage.com/release-notes/carousel-7-1-3",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-6793,"An issue was discovered in GitLab Enterprise Edition before 11.5.8, 11.6.x before 11.6.6, and 11.7.x before 11.7.1. The Jira integration feature is vulnerable to an unauthenticated blind SSRF issue.",HIGH,HIGH,CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:L/I:H/A:L,CWE-918,"https://about.gitlab.com/2019/01/31/security-release-gitlab-11-dot-7-dot-3-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/50748, https://about.gitlab.com/2019/01/31/security-release-gitlab-11-dot-7-dot-3-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/50748",Blind SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-15728,"An issue was discovered in GitLab Community and Enterprise Edition 10.1 through 12.2.1. Protections against SSRF attacks on the Kubernetes integration are insufficient, which could have allowed an attacker to request any local network resource accessible from the GitLab server.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-918,"https://about.gitlab.com/2019/08/29/security-release-gitlab-12-dot-2-dot-3-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/61314, https://about.gitlab.com/2019/08/29/security-release-gitlab-12-dot-2-dot-3-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/61314",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-15730,"An issue was discovered in GitLab Community and Enterprise Edition 8.14 through 12.2.1. The Jira integration contains a SSRF vulnerability as a result of a bypass of the current protection mechanisms against this type of attack, which would allow sending requests to any resources accessible in the local network by the GitLab server.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-918,"https://about.gitlab.com/2019/08/29/security-release-gitlab-12-dot-2-dot-3-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/61349, https://about.gitlab.com/2019/08/29/security-release-gitlab-12-dot-2-dot-3-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/61349",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-15033,"Pydio 6.0.8 allows Authenticated SSRF during a Remote Link Feature download. An attacker can specify an intranet address in the file parameter to index.php, when sending a file to a remote server, as demonstrated by the file=http%3A%2F%2F192.168.1.2 substring.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:H/I:N/A:N,CWE-918,"https://heitorgouvea.me/2019/09/17/CVE-2019-15033, https://pydio.com, https://sourceforge.net/projects/ajaxplorer/files/pydio/stable-channel/, https://heitorgouvea.me/2019/09/17/CVE-2019-15033, https://pydio.com, https://sourceforge.net/projects/ajaxplorer/files/pydio/stable-channel/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-16932,A blind SSRF vulnerability exists in the Visualizer plugin before 3.3.1 for WordPress via wp-json/visualizer/v1/upload-data.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:H/I:H/A:N,CWE-918,"https://nathandavison.com/blog/wordpress-visualizer-plugin-xss-and-ssrf, https://wordpress.org/plugins/visualizer/#developers, https://wpvulndb.com/vulnerabilities/9892, https://nathandavison.com/blog/wordpress-visualizer-plugin-xss-and-ssrf, https://wordpress.org/plugins/visualizer/#developers, https://wpvulndb.com/vulnerabilities/9892",Blind SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-13335,SalesAgility SuiteCRM 7.10.x 7.10.19 and 7.11.x before and 7.11.7 has SSRF.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://docs.suitecrm.com/admin/releases/7.10.x/#_7_10_20, https://docs.suitecrm.com/admin/releases/7.11.x/#_7_11_7, https://docs.suitecrm.com/admin/releases/7.11.x/#_7_11_8, https://docs.suitecrm.com/admin/releases/7.10.x/#_7_10_20, https://docs.suitecrm.com/admin/releases/7.11.x/#_7_11_7, https://docs.suitecrm.com/admin/releases/7.11.x/#_7_11_8",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-15164,rpcapd/daemon.c in libpcap before 1.9.1 allows SSRF because a URL may be provided as a capture source.,MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:L/A:N,CWE-918,"http://seclists.org/fulldisclosure/2019/Dec/26, https://github.com/the-tcpdump-group/libpcap/blob/libpcap-1.9/CHANGES, https://github.com/the-tcpdump-group/libpcap/commit/33834cb2a4d035b52aa2a26742f832a112e90a0a, https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/5P5K3DQ4TFSZBDB3XN4CZNJNQ3UIF3D3/, https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/GBIEKWLNIR62KZ5GA7EDXZS52HU6OE5F/, https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/UZTIPUWABYUE5KQOLCKAW65AUUSB7QO6/, https://seclists.org/bugtraq/2019/Dec/23, https://support.apple.com/kb/HT210785, https://support.apple.com/kb/HT210788, https://support.apple.com/kb/HT210789, https://support.apple.com/kb/HT210790, https://www.oracle.com/security-alerts/cpuapr2020.html, https://www.tcpdump.org/public-cve-list.txt, http://seclists.org/fulldisclosure/2019/Dec/26, https://github.com/the-tcpdump-group/libpcap/blob/libpcap-1.9/CHANGES, https://github.com/the-tcpdump-group/libpcap/commit/33834cb2a4d035b52aa2a26742f832a112e90a0a, https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/5P5K3DQ4TFSZBDB3XN4CZNJNQ3UIF3D3/, https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/GBIEKWLNIR62KZ5GA7EDXZS52HU6OE5F/, https://lists.fedoraproject.org/archives/list/package-announce%40lists.fedoraproject.org/message/UZTIPUWABYUE5KQOLCKAW65AUUSB7QO6/, https://seclists.org/bugtraq/2019/Dec/23, https://support.apple.com/kb/HT210785, https://support.apple.com/kb/HT210788, https://support.apple.com/kb/HT210789, https://support.apple.com/kb/HT210790, https://www.oracle.com/security-alerts/cpuapr2020.html, https://www.tcpdump.org/public-cve-list.txt",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2017-18638,"send_email in graphite-web/webapp/graphite/composer/views.py in Graphite through 1.1.5 is vulnerable to SSRF. The vulnerable SSRF endpoint can be used by an attacker to have the Graphite web server request any resource. The response to this SSRF request is encoded into an image file and then sent to an e-mail address that can be supplied by the attacker. Thus, an attacker can exfiltrate any information.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-918,"https://blog.orange.tw/2017/07/how-i-chained-4-vulnerabilities-on.html#second-bug-internal-graphite-ssrf, https://github.com/graphite-project/graphite-web/issues/2008, https://github.com/graphite-project/graphite-web/pull/2499, https://github.com/graphite-project/graphite-web/security/advisories/GHSA-vfj6-275q-4pvm, https://lists.debian.org/debian-lts-announce/2019/10/msg00030.html, https://www.youtube.com/watch?v=ds4Gp4xoaeA, https://blog.orange.tw/2017/07/how-i-chained-4-vulnerabilities-on.html#second-bug-internal-graphite-ssrf, https://github.com/graphite-project/graphite-web/issues/2008, https://github.com/graphite-project/graphite-web/pull/2499, https://github.com/graphite-project/graphite-web/security/advisories/GHSA-vfj6-275q-4pvm, https://lists.debian.org/debian-lts-announce/2019/10/msg00030.html, https://www.youtube.com/watch?v=ds4Gp4xoaeA",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-14225,OX App Suite 7.10.1 and 7.10.2 allows SSRF.,MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:L/A:N,CWE-918,"http://packetstormsecurity.com/files/154826/Open-Xchange-OX-App-Suite-SSRF-XSS-Information-Disclosure-Access-Controls.html, https://seclists.org/fulldisclosure/2019/Oct/25, http://packetstormsecurity.com/files/154826/Open-Xchange-OX-App-Suite-SSRF-XSS-Information-Disclosure-Access-Controls.html, https://seclists.org/fulldisclosure/2019/Oct/25",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-17400,"The unoconv package before 0.9 mishandles untrusted pathnames, leading to SSRF and local file inclusion.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-918,"https://buer.haus/2019/10/18/a-tale-of-exploitation-in-spreadsheet-file-conversions/, https://github.com/unoconv/unoconv/pull/510, https://buer.haus/2019/10/18/a-tale-of-exploitation-in-spreadsheet-file-conversions/, https://github.com/unoconv/unoconv/pull/510",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-18355,An SSRF issue was discovered in the legacy Web launcher in Thycotic Secret Server before 10.7.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://thycotic.force.com/support/s/article/SS-RN-EXT-Secret-Server-10-7-000000-Legacy-Release-Notes, https://thycotic.force.com/support/s/article/SS-RN-EXT-Secret-Server-10-7-000000-Legacy-Release-Notes",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-18213,"XML Language Server (aka lsp4xml) before 0.9.1, as used in Red Hat XML Language Support (aka vscode-xml) before 0.9.1 for Visual Studio and other products, allows XXE via a crafted XML document, with resultant SSRF (as well as SMB connection initiation that can lead to NetNTLM challenge/response capture for password cracking). This occurs in extensions/contentmodel/participants/diagnostics/LSPXMLParserConfiguration.java.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-611,"https://github.com/angelozerr/lsp4xml/, https://github.com/angelozerr/lsp4xml/blob/master/CHANGELOG.md#others, https://github.com/angelozerr/lsp4xml/pull/566, https://github.com/redhat-developer/vscode-xml/, https://marketplace.visualstudio.com/items?itemName=redhat.vscode-xml, https://www.shielder.it/blog/dont-open-that-xml-xxe-to-rce-in-xml-plugins-for-vs-code-eclipse-theia/, https://github.com/angelozerr/lsp4xml/, https://github.com/angelozerr/lsp4xml/blob/master/CHANGELOG.md#others, https://github.com/angelozerr/lsp4xml/pull/566, https://github.com/redhat-developer/vscode-xml/, https://marketplace.visualstudio.com/items?itemName=redhat.vscode-xml, https://www.shielder.it/blog/dont-open-that-xml-xxe-to-rce-in-xml-plugins-for-vs-code-eclipse-theia/",External SSRF,Disable XML external entity (XXE) processing to prevent SSRF exploitation
CVE-2019-16948,"An SSRF issue was discovered in Enghouse Web Chat 6.1.300.31. In any POST request, one can replace the port number at WebServiceLocation=http://localhost:8085/UCWebServices/ with a range of ports to determine what is visible on the internal network (as opposed to what general web traffic would see on the product's host). The response from open ports is different than from closed ports. The product does not allow one to change the protocol: anything except http(s) will throw an error; however, it is the type of error that allows one to determine if a port is open or not.",CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://mjlanders.com/2019/11/07/multiple-vulnerabilities-found-in-enghouse-zeacom-web-chat/, https://mjlanders.com/2019/11/07/multiple-vulnerabilities-found-in-enghouse-zeacom-web-chat/",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-20055,LuquidPixels LiquiFire OS 4.8.0 allows SSRF via the call%3Durl substring followed by a URL in square brackets.,MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:L/I:L/A:N,CWE-918,"https://code610.blogspot.com/2019/12/testing-ssrf-in-liquifireos.html, https://code610.blogspot.com/2019/12/testing-ssrf-in-liquifireos.html",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-20497,"An issue was discovered in GitLab Community and Enterprise Edition before 11.4.13, 11.5.x before 11.5.6, and 11.6.x before 11.6.1. It allows SSRF.",MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N,CWE-918,"https://about.gitlab.com/2018/12/31/security-release-gitlab-11-dot-6-dot-1-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/51327, https://about.gitlab.com/2018/12/31/security-release-gitlab-11-dot-6-dot-1-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/51327",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2018-20499,"An issue was discovered in GitLab Community and Enterprise Edition before 11.x before 11.4.13, 11.5.x before 11.5.6, and 11.6.x before 11.6.1. It allows SSRF.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:C/C:L/I:L/A:N,CWE-918,"https://about.gitlab.com/2018/12/31/security-release-gitlab-11-dot-6-dot-1-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/55439, https://about.gitlab.com/2018/12/31/security-release-gitlab-11-dot-6-dot-1-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/55439",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-19261,GitLab Enterprise Edition (EE) 6.7 and later through 12.5 allows SSRF.,HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CWE-918,"https://about.gitlab.com/blog/2019/11/27/security-release-gitlab-12-5-1-released/, https://about.gitlab.com/blog/categories/releases/, https://about.gitlab.com/blog/2019/11/27/security-release-gitlab-12-5-1-released/, https://about.gitlab.com/blog/categories/releases/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-1925,"Apache Olingo versions 4.0.0 to 4.7.0 provide the AsyncRequestWrapperImpl class which reads a URL from the Location header, and then sends a GET or DELETE request to this URL. It may allow to implement a SSRF attack. If an attacker tricks a client to connect to a malicious server, the server can make the client call any URL including internal resources which are not directly accessible by the attacker.",HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-918,"https://mail-archives.apache.org/mod_mbox/olingo-user/202001.mbox/%3CCAGSZ4d6HwpF2woOrZJg_d0SkHytXJaCtAWXa3ZtBn33WG0YFvw%40mail.gmail.com%3E, https://mail-archives.apache.org/mod_mbox/olingo-user/202001.mbox/%3CCAGSZ4d6HwpF2woOrZJg_d0SkHytXJaCtAWXa3ZtBn33WG0YFvw%40mail.gmail.com%3E",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-19835,SSRF in AjaxRestrictedCmdStat in zap in Ruckus Wireless Unleashed through 200.7.10.102.64 allows a remote denial of service via the server attribute to the tools/_rcmdstat.jsp URI.,HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:N/A:H,CWE-918,"https://alephsecurity.com/2020/01/14/ruckus-wireless, https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10816.html, https://www.ruckuswireless.com/security/299/view/txt, https://alephsecurity.com/2020/01/14/ruckus-wireless, https://fahrplan.events.ccc.de/congress/2019/Fahrplan/events/10816.html, https://www.ruckuswireless.com/security/299/view/txt",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-5464,A flawed DNS rebinding protection issue was discovered in GitLab CE/EE 10.2 and later in the `url_blocker.rb` which could result in SSRF where the library is utilized.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-20,"https://about.gitlab.com/releases/2019/07/29/security-release-gitlab-12-dot-1-dot-2-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/63959, https://hackerone.com/reports/632101, https://about.gitlab.com/releases/2019/07/29/security-release-gitlab-12-dot-1-dot-2-released/, https://gitlab.com/gitlab-org/gitlab-ce/issues/63959, https://hackerone.com/reports/632101",DNS Rebinding SSRF,Implement strict input validation to prevent unexpected behavior
CVE-2019-20474,"An issue was discovered in Zoho ManageEngine Remote Access Plus 10.0.447. The service to test the mail-server configuration suffers from an authorization issue allowing a user with the Guest role (read-only access) to use and abuse it. One of the abuses allows performing network and port scan operations of the localhost or the hosts on the same network segment, aka SSRF.",MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:L/I:N/A:N,CWE-918,"https://excellium-services.com/cert-xlm-advisory/cve-2019-20474/, https://www.manageengine.com/remote-desktop-management/knowledge-base/authorization-failure.html, https://excellium-services.com/cert-xlm-advisory/cve-2019-20474/, https://www.manageengine.com/remote-desktop-management/knowledge-base/authorization-failure.html",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-7796,Zimbra Collaboration Suite (ZCS) before 8.8.15 Patch 7 allows SSRF when WebEx zimlet is installed and zimlet JSP is enabled.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P7, https://wiki.zimbra.com/wiki/Zimbra_Releases/8.8.15/P7",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-18846,OX App Suite through 7.10.2 allows SSRF.,MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:C/C:L/I:N/A:N,CWE-918,"http://packetstormsecurity.com/files/156474/Open-Xchange-App-Suite-Documents-Server-Side-Request-Forgery.html, http://packetstormsecurity.com/files/158070/OX-App-Suite-OX-Documents-7.10.3-XSS-SSRF-Improper-Validation.html, http://packetstormsecurity.com/files/156474/Open-Xchange-App-Suite-Documents-Server-Side-Request-Forgery.html, http://packetstormsecurity.com/files/158070/OX-App-Suite-OX-Documents-7.10.3-XSS-SSRF-Improper-Validation.html",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-10212,"upload.php in Responsive FileManager 9.13.4 and 9.14.0 allows SSRF via the url parameter because file-extension blocking is mishandled and because it is possible for a DNS hostname to resolve to an internal IP address. For example, an SSRF attempt may succeed if a .ico filename is added to the PATH_INFO. Also, an attacker could create a DNS hostname that resolves to the 0.0.0.0 IP address for DNS pinning. NOTE: this issue exists because of an incomplete fix for CVE-2018-14728.",CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://github.com/trippo/ResponsiveFilemanager/issues/598, https://github.com/trippo/ResponsiveFilemanager/issues/598",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-13121,An issue was discovered in GitLab Enterprise Edition 10.6 through 12.0.2. The GitHub project integration was vulnerable to an SSRF vulnerability which allowed an attacker to make requests to local network resources. It has Incorrect Access Control.,HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:N/I:H/A:N,CWE-918,"https://about.gitlab.com/blog/categories/releases/, https://about.gitlab.com/releases/2019/07/03/security-release-gitlab-12-dot-0-dot-3-released/, https://about.gitlab.com/blog/categories/releases/, https://about.gitlab.com/releases/2019/07/03/security-release-gitlab-12-dot-0-dot-3-released/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-10077,GitLab EE 3.0 through 12.8.1 allows SSRF. An internal investigation revealed that a particular deprecated service was creating a server side request forgery risk.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://about.gitlab.com/releases/2020/03/04/gitlab-12-dot-8-dot-2-released/, https://about.gitlab.com/releases/2020/03/04/gitlab-12-dot-8-dot-2-released/index.html, https://about.gitlab.com/releases/2020/03/04/gitlab-12-dot-8-dot-2-released/, https://about.gitlab.com/releases/2020/03/04/gitlab-12-dot-8-dot-2-released/index.html",Internal SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2019-11574,An issue was discovered in Simple Machines Forum (SMF) before release 2.0.17. There is SSRF related to Subs-Package.php and Subs.php because user-supplied data is used directly in curl calls.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://pastebin.com/raw/prE3iiLm, https://www.simplemachines.org/community/index.php?board=1.0, https://pastebin.com/raw/prE3iiLm, https://www.simplemachines.org/community/index.php?board=1.0",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-10791,app/Plugin/GrafanaModule/Controller/GrafanaConfigurationController.php in openITCOCKPIT before 3.7.3 allows remote authenticated users to trigger outbound TCP requests (aka SSRF) via the Test Connection feature (aka testGrafanaConnection) of the Grafana Module.,MEDIUM,LOW,CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:N/I:H/A:N,CWE-918,"https://github.com/it-novum/openITCOCKPIT/commit/50722befae4cfedd0103f9b0ec2a7e22530b2385, https://openitcockpit.io/2020/2020/03/23/openitcockpit-3-7-3-released/, https://github.com/it-novum/openITCOCKPIT/commit/50722befae4cfedd0103f9b0ec2a7e22530b2385, https://openitcockpit.io/2020/2020/03/23/openitcockpit-3-7-3-released/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-10956,GitLab 8.10 and later through 12.9 is vulnerable to an SSRF in a project import note feature.,CRITICAL,LOW,CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-918,"https://about.gitlab.com/releases/2020/03/26/security-release-12-dot-9-dot-1-released/, https://about.gitlab.com/releases/categories/releases/, https://about.gitlab.com/releases/2020/03/26/security-release-12-dot-9-dot-1-released/, https://about.gitlab.com/releases/categories/releases/",External SSRF,"Restrict internal network access, validate user input, use allowlists for URLs"
CVE-2020-11451,The Upload Visualization plugin in the Microstrategy Web 10.4 admin panel allows an administrator to upload a ZIP archive containing files with arbitrary extensions and data. (This is also exploitable via SSRF). Note: The ability to upload visualization plugins requires administrator privileges.,HIGH,LOW,CVSS:3.1/AV:N/AC:L/PR:H/UI:N/S:U/C:H/I:H/A:H,CWE-434,"http://packetstormsecurity.com/files/157068/MicroStrategy-Intelligence-Server-And-Web-10.4-XSS-Disclosure-SSRF-Code-Execution.html, http://seclists.org/fulldisclosure/2020/Apr/1, https://community.microstrategy.com/s/article/Web-Services-Security-Vulnerability, https://www.redtimmy.com/web-application-hacking/another-ssrf-another-rce-the-microstrategy-case/, http://packetstormsecurity.com/files/157068/MicroStrategy-Intelligence-Server-And-Web-10.4-XSS-Disclosure-SSRF-Code-Execution.html, http://seclists.org/fulldisclosure/2020/Apr/1, https://community.microstrategy.com/s/article/Web-Services-Security-Vulnerability, https://www.redtimmy.com/web-application-hacking/another-ssrf-another-rce-the-microstrategy-case/",External SSRF,Restrict file uploads to only expected content types
